ID,Fase,Prioridad,Accion,Problema que resuelve,Evidencia,Entregable,Responsable,Dependencias,Coste EUR,Horas,Plazo,KPI principal,Metrica de control,Valor actual,Objetivo 14d,Objetivo 30d,Objetivo 60d,Objetivo 90d,Impacto esperado,Confianza,Regla de decision,Estado
A-205,4-14,P1,"Montar retargeting Meta (pixel ya instalado): audiencia visitantes + creativo memorandum","Clics pagados caducan sin recuperacion; segundo canal aprobado 30-07 sin montar","Ev.03 tarea CANAL-2","Campana lista para el dia 15",Jesus,A-206 (creativo),50,4,"03-09","Campana montada","Tamano de audiencia","0","Lista","Activa (A-302)","Segun regla E-04","Segun regla","Medio-alto",Media,"Activar solo si audiencia >=300",Pendiente
A-206,4-14,P0,"Corregir simulaciones de packs: gastos reales Binghatti/SAAS; base unica; rebajar NH y GF; regenerar PDFs","Packs incoherentes entre si y contra su propio texto; claims indefendibles","Ev.07 secciones 5.1-5.3","7 packs coherentes",Jesus,Ninguna,0,6,"31-08","Packs con base unica","Diferencias web vs pack","1 de 8 cumple la base","7/7","7/7","7/7 + nuevos","7/7","Alto (riesgo reputacional y comercial)",Alta,"Ningun pack se envia a lead sin la base nueva",Pendiente
A-207,4-14,P1,"Publicar memorandum de muestra en proyectos.html + precio en los 7 inmuebles","El mejor material de conversion es invisible; 4 de 7 sin precio","Ev.07 seccion 6; Ev.09 hallazgo 7","Pagina actualizada (deploy 03-09)",Jesus+Marc,A-206,0,3,"03-09","CTR proyectos a formulario","Peticiones de analisis",n/d,"Publicado","+25% CTR a form","+40%","+40%","Medio-alto",Media,"Precios que falten se piden a Marc; sin precio no se publica ficha nueva",Pendiente
A-208,4-14,P2,"Unificar scoring en generadores y documentacion (escala 10 pts)","3 escalas conviven y contradicen el aviso del asesor","Ev.02 hallazgo 5.6","Generadores alineados",Jesus,Ninguna,0,2,"05-09","Escala unica","Errores de plantilla M1","3 escalas","1 escala","1 escala","1 escala","1 escala","Bajo-medio",Alta,"n/a",Pendiente
A-209,4-14,P1,"Enviar correo al asesor fiscal (LI-05); nurturing de descargas de guia; enlazar descarga desde blog fiscal","Guia distribuida sin validacion; descargas fuera del funnel","Ev.08 secciones 3.2-3.4","Correo enviado + flujo de 2 emails",Jesus+Fiscal,Ninguna,"0-300",3,"29-08","Guia validada","Descargas trabajadas","Sin validar; 0 nurturing","Correo enviado","Validada","Validada","Validada","Medio",Alta,"Si el asesor tarda >30 dias: segundo asesor",Pendiente
A-210,4-14,P1,"Ajustes Busqueda con Dayvo: negativas nuevas; sitelinks reescritos; test anuncio con precio","Sitelinks 0 clics en 2.727 impresiones; trafico informacional residual","Ev.10 seccion 3","Cambios aplicados",Dayvo,A-101,0,2,"29-08","CTR sitelinks >0","CTR general","0 clics sitelinks",">0","E-10 evaluado","Consolidado","Consolidado","Medio",Media,"E-10: precio se mantiene si conversion >=1,5x aunque CTR caiga hasta 40%",Pendiente
A-211,4-14,P2,"Higiene tecnica: redirect /proyectos; robots.txt Cloudflare; sitemap lastmod; erratas","Fugas menores y contradiccion de rastreo IA","Ev.09 hallazgos 1 6 12 14","Deploy 03-09",Jesus,A-105,0,2,"03-09","404 de /proyectos eliminado","n/a","404 activo","Resuelto","Resuelto","Resuelto","Resuelto","Bajo",Alta,"n/a",Pendiente
A-212,4-14,P1,"Retomar diario y reconstruir agosto (git+Gmail+auditoria)","21 dias sin registro en el expediente de sustancia economica","Ev.05 seccion 2","Diario al dia",Jesus,Ninguna,0,3,"31-08","Dias sin registrar","Huecos nuevos","21 dias de hueco","0","0","0","0","Medio (AEAT y gestion)",Alta,"Registro minimo diario de 5 lineas",Pendiente
A-213,4-14,P0,"Solicitar por escrito confirmacion de comision de los 6 proyectos publicados","Se paga trafico hacia productos sin comision pactada","Ev.06 seccion 3","6 confirmaciones o constancia de silencio",Jesus,A-106,0,1,"27-08","Proyectos con comision confirmada","Dias sin respuesta","1 de 7","3+","6-7 o decision M32","7 o partner nuevo","7","Alto",Alta,"Silencio a 05-09: escalar y activar M32 (A-407)",Pendiente
A-301,15-30,P0,"Landing dedicada Ads (sin nav; form en hero; identidad y memorandum) para el grupo inversion","Experiencia de landing por debajo de la media; 60% impresiones perdidas por ranking","Ev.10 seccion 3; Dayvo 19-08","Landing en produccion + trafico dividido",Jesus+Dayvo,A-105 A-207,0,6,"08-09","Conversion por rama","CPL por rama","Landing unica (home)","Test corriendo","Decision tomada","Ganadora consolidada","Consolidada","Alto",Media,"E-03: >=1,5x migrar todo; <1x mantener home",Pendiente
A-302,15-30,P1,"Activar retargeting Meta 5 EUR/dia 14 dias","Recuperar los ~500 clics ya pagados","Ev.03 CANAL-2","Campana activa",Jesus,A-205,70,1,"04-09","CPL Meta","Frecuencia <4","Sin canal","Activa","Decision E-04","Escalado o pausado","Segun CPL","Medio-alto",Media,"CPL<=60 escalar a 10/dia; 0 leads con 70 EUR pausar",Pendiente
A-303,15-30,P1,"Test Busqueda Mexico 10 EUR/dia si A-204 avala","Volumen estructural insuficiente en Espana","Ev.03 hallazgo 7.5; CR-1","Campana MX activa 14 dias",Jesus+Dayvo,A-204 A-301,140,2,"08-09","Leads MX y CPL","% leads basura","0","Activa",">=2 leads CPL<=80 o pausa","Consolidado o cerrado","Segun regla","Alto si hay demanda",Media,"E-05: 0 leads con 100 EUR pausar y documentar",Pendiente
A-304,15-30,P1,"Primer webinar quincenal (Meet): mercado + memorandum en vivo + fiscalidad","Sin mecanismo de conversion para leads frios; sin eventos (patron de competidores maduros)","Ev.08 seccion 6; Benchmark seccion 4","Webinar celebrado + grabacion",Jesus,A-206,0,5,"12-09","Inscritos y videollamadas derivadas","Horas invertidas","0",">=8 inscritos",">=1 videollamada/edicion","Quincenal consolidado","Evergreen + quincenal","Medio",Media,"E-07: <4 inscritos x2 ediciones sustituir por video grabado",Pendiente
A-305,15-30,P2,"Lead magnet perecedero Top 5 Q4-2026 gated (desde packs corregidos)","Sin lead magnet segmentado; patron ganador del benchmark","Benchmark M-5; Ev.07 activos","PDF + formulario + promocion",Jesus,A-206,0,3,"15-09","Descargas/mes","% emails validos","0",">=8",">=15","Renovacion Q1 decidida","Trimestral","Medio",Media,"E-09: <5/mes no renovar",Pendiente
A-306,15-30,P1,"LinkedIn minimo: madurar cuenta; crear pagina; lista 50 perfiles; 2 posts/semana del playbook","Canal de credibilidad inexistente con playbook completo escrito","Ev.08 seccion 4","Pagina + 8 posts/mes",Jesus,Ninguna,0,4,"19-09","Pagina creada y posts publicados","Interacciones","Bloqueado paso 2 desde 30-07","Cuenta madurando","Pagina + 8 posts","Outbound activo (A-405)","Canal establecido","Medio",Media,"Si LinkedIn sigue bloqueando la pagina a 30 dias: publicar desde perfil sobrio",Pendiente
A-307,15-30,P0,"Decision de canal del dia 30 con la ventana limpia 20-08 a 19-09","Evitar otra decision con datos rotos","Ev.04 seccion 8","Documento en 03_decisiones.md",Jesus,A-108 A-301 A-302 A-303,0,2,"20-09","Decision documentada","n/a","Sin ventana limpia previa","n/a","Tomada","Ejecutada","Revisada","Alto",Alta,"Busqueda ES sube a 30/dia SOLO si CPL<=80 y >=6 leads/mes",Pendiente
A-308,15-30,P1,"Pipeline en CRM: estados nuevos; motivo de perdida obligatorio; registro de reuniones Calendly","Sin etapas ni motivos: imposible aprender de las perdidas","Ev.02 hallazgo 5.3","CRM con etapas + informe semanal",Jesus,A-107,0,4,"12-09","% leads con etapa y motivo","Reuniones registradas","Estados activo/baja","100% nuevos","100%","100%","100%","Alto",Alta,"Ningun lead se cierra sin motivo de la lista",Pendiente
A-401,31-60,P0,"Escalar segun A-307: Busqueda ES a 30-40/dia y/o consolidar MX y Meta (tope 1.200 EUR/mes)","Volumen estructural (CR-1)","A-307","Presupuesto reasignado",Jesus+Dayvo,A-307,600-1200/mes,2,"25-09","Leads/mes","CPL por canal","4-6 esperados al dia 30","n/a",">=8","12-20","15-25","Alto",Media,"Canal con CPL>150 dos semanas seguidas se recorta",Pendiente
A-402,31-60,P2,"Canal de difusion WhatsApp (2 envios/semana con criterio)","Nurturing de baja friccion para leads frios","Benchmark M-8","Canal activo",Jesus,A-203,0,2,"30-09","Suscriptores","Bajas","0","n/a",">=15",">=30 o parar","Consolidado","Bajo-medio",Baja,"E-12: <10 a 30 dias parar",Pendiente
A-403,31-60,P1,"PR: entrevista o articulo en elcorreo.ae + 1 medio economico espanol o andorrano","Cero autoridad externa verificable","Benchmark seccion 4 patron 6","1 aparicion publicada",Jesus,A-105 (identidad publica),0-300,4,"19-10","Apariciones","Menciones de marca","0","n/a","Propuestas enviadas","1 publicada","2 publicadas","Medio",Media,"Si no hay respuesta probar podcasts de inversion",Pendiente
A-404,31-60,P1,"4 articulos SEO larga cola (fiscalidad practica + RAK) con autor real y lead magnet enlazado","Blog congelado 74 dias sin autor ni conversion","Ev.08 secciones 2.5-2.6","4 articulos publicados",Jesus,A-209,0,8,"19-10","Articulos + clics organicos","Posiciones Search Console","16 congelados; organico sin medir","n/a","2","4","6 y cadencia 2/mes","Medio (madura a 6-12 meses)",Alta,"Medir en Search Console cada mes (D-08)",Pendiente
A-405,31-60,P1,"Outbound LinkedIn: 10 contactos/dia de la lista de 50 con guion del playbook","Unico canal rapido hacia el perfil 300k+","Ev.08 seccion 4.3","Registro de conversaciones",Jesus,A-306,0,5/semana,"19-10","Conversaciones/mes","% respuestas negativas","0","n/a","n/a",">=5","+objetivo revisado","Medio",Media,"E-11: <2/mes revisar guion o pausar",Pendiente
A-406,31-60,P2,"Activar Mondrian y/o Sobha (material en Drive) para tramo medio y 4o proyecto RAK; retirar tramo <150k si no hay producto","Tramo de entrada prometido y vacio; concentracion Wynn","Ev.07 secciones 3 y 6","2 fichas + packs nuevos",Jesus+Marc,A-206 A-213,0,8,"19-10","Fichas con comision confirmada","Cobertura por tramo","1 producto <300k","n/a","n/a","2 nuevas","Cartera coherente","Medio",Media,"Sin comision confirmada no se publica (regla A-213)",Pendiente
A-407,31-60,P0,"Decision de partner: si RRS no devuelve acuse+Anexo I a 20-09 abrir segundo partner (M32)","Dependencia total de un partner que no responde","Ev.06 seccion 5","Segundo partner en due diligence o anexos firmados",Jesus,A-106 A-213,0,6,"10-10","Anexos firmados o alternativa activa","Dias de silencio RRS","24 dias de silencio","n/a","Decision tomada","Ejecutada","Riesgo mitigado","Alto",Alta,"El silencio prolongado ES la respuesta: actuar en consecuencia",Pendiente
A-501,61-90,P1,"Consolidar mix de canales y presupuesto Q4 con la serie de 8 semanas limpias","Decisiones de inversion con datos por fin fiables","Serie A-108","Presupuesto Q4 documentado",Jesus,A-401,0,3,"31-10","CPL blended","Leads/mes por canal","n/a","n/a","n/a","n/a","Mix documentado","Alto",Alta,"Solo escala lo que tenga 4+ semanas de CPL<=objetivo",Pendiente
A-502,61-90,P1,"Dashboard semanal de direccion automatizado (Sheets + guardian + exports)","Gobierno del negocio en 30 min/semana","Plan seccion Materiales","Dashboard operativo",Jesus,A-108 A-308,0,6,"07-11","Semanas con revision hecha","n/a","0","n/a","n/a","n/a","12/12","Medio",Alta,"Lunes 30 min innegociables",Pendiente
A-503,61-90,P2,"Sistema de referidos: acuerdo tipo con 2-3 asesores patrimoniales (20-25% fee) + regalo fijo a clientes","Canal de confianza prestada sin coste fijo","Benchmark seccion 7","2 acuerdos firmados",Jesus,A-213 (Anexo I),0,6,"14-11","Acuerdos activos","Leads referidos","0","n/a","n/a","n/a","2","Medio",Baja,"Sin Anexo I firmado no se promete fee a terceros",Pendiente
A-504,61-90,P2,"Reactivar secuencias automaticas SOLO si volumen >15 leads/mes tras reescribir plantillas no conformes","Escalar el seguimiento sin perder la disciplina de claims","Ev.02 hallazgo 5.9","Plantillas revisadas + interruptor ON si procede",Jesus,Volumen >15/mes,0,4,"19-11","% leads con secuencia completa","Quejas/bajas","Cortadas desde 30-07","n/a","n/a","n/a","Segun volumen","Medio",Media,"Ninguna plantilla vieja sale sin revision de cifras",Pendiente
A-505,61-90,P1,"Viaje de Jesus a Dubai/RAK con contenido propio (visitas de obra; video con Marc) si hay >=3 oportunidades en pipeline","Cero evidencia de presencia en el terreno; diferencial declarado sin sustancia","Ev.08 seccion 7","Contenido de terreno + reuniones",Jesus,Pipeline >=3,1500-2500,40,"19-11","Oportunidades avanzadas en el viaje","Contenido producido","0 visitas documentadas","n/a","n/a","n/a","1 viaje ejecutado","Alto para cierre y marca",Media,"Solo con pipeline que lo justifique; combinar con cierre de operaciones",Pendiente
A-506,61-90,P2,"Al primer cierre: Trustpilot + caso real documentado con permiso + actualizar prueba social","Cero prueba social de terceros","Benchmark M-12","Perfil activo + caso publicado",Jesus,Primera operacion,0,3,"Al cierre","Resenas reales","n/a","0","n/a","n/a","n/a","Segun cierres","Alto",Alta,"Nunca resenas incentivadas o falsas",Pendiente
