url,tipo,intencion,etapa_funnel,keyword_objetivo,ubicacion,estado_indexacion,prioridad,accion_recomendada,riesgo
https://www.horizonteemirates.com/blog/espana-vs-dubai-invertir.html,comparativa,comercial,mofu,España vs Dubai invertir; comparativa inversión inmobiliaria,global,index,medio,"HECHO: de 0 a 2 enlaces entrantes, enlace a proyectos en el cierre. PENDIENTE: enlazar las fuentes de la comparativa (P1.2)",bajo
https://www.horizonteemirates.com/legal.html,legal,navegacional,n/a,aviso legal Horizonte Emirates,global,index,medio,"HECHO: Open Graph y Twitter Card, meta a 137. PENDIENTE (P2.9): desborda 142 px en movil por una tabla sin contenedor overflow-x",bajo
https://www.horizonteemirates.com/blog/,categoria,navegacional,tofu,blog inversión inmobiliaria Dubai,global,index,bajo,"HECHO: title a 50, meta a 141. Sin acciones pendientes",ninguno
https://www.horizonteemirates.com/blog/comprar-sobre-plano-dubai.html,blog,informacional,mofu,comprar sobre plano en Dubai; off-plan Dubai,Dubai,index,bajo,"HECHO: title de 91 a 53, enlace a proyectos. PENDIENTE: enlazar el registro de escrow del DLD (P1.2)",bajo
https://www.horizonteemirates.com/blog/invertir-ras-al-khaimah.html,blog,informacional,mofu,invertir en Ras Al Khaimah; Wynn Al Marjan,Ras Al Khaimah,index,bajo,HECHO: enlaces a las fichas de proyecto de Al Marjan y a Abu Dhabi. PENDIENTE: citar la fuente de la apertura del Wynn en 2027,bajo
https://www.horizonteemirates.com/blog/residencia-en-dubai.html,blog,informacional,tofu,residencia en Dubai; visado residencia Emiratos,Dubai,index,bajo,"HECHO: de 1 a 2 enlaces entrantes, title a 53. PENDIENTE: enlazar la fuente oficial de tipos de visado",bajo
https://www.horizonteemirates.com/blog/crear-empresa-en-dubai.html,blog,informacional,tofu,crear empresa en Dubai; mainland vs free zone,Dubai,index,bajo,"HECHO: title de 91 a 55. PENDIENTE: comprobar si atrae trafico fuera del ICP (emprendedores, no inversores)",medio (posible trafico fuera del ICP)
https://www.horizonteemirates.com/blog/free-zones-emiratos-comparadas.html,comparativa,informacional,tofu,free zones Emiratos comparadas,global,index,bajo,"HECHO: title a 54, meta a 128. El mas alejado del ICP inversor: mantener sin priorizar",bajo
https://www.horizonteemirates.com/blog/comprar-propiedad-dubai-no-residente.html,blog,informacional,mofu,comprar propiedad en Dubai siendo no residente,Dubai,index,bajo,"HECHO: de 0 a 2 enlaces entrantes, title a 58, meta a 131. PENDIENTE: enlazar fuentes (P1.2)",bajo
https://www.horizonteemirates.com/blog/vivir-en-dubai-espanol.html,blog,informacional,tofu,vivir en Dubai siendo español; coste de vida Dubai,Dubai,index,bajo,"HECHO: de 1 a 2 enlaces entrantes. Sigue siendo el articulo mas alejado del ICP: atrae expatriados, no inversores. Mantener sin inversion adicional",medio (trafico fuera del ICP)
https://www.horizonteemirates.com/blog/creditos.html,otro,navegacional,n/a,n/a,global,noindex-intencional,bajo,"Créditos de imágenes de Pexels. Correcto en noindex,follow. Sin acción",ninguno
https://www.horizonteemirates.com/inversion-fraccionada-dubai.html,landing,comercial,mofu,inversión fraccionada Dubai (no activada),Dubai,noindex-intencional,bajo,"noindex,nofollow deliberado a la espera de due diligence legal. NO es un hallazgo. Reevaluar solo cuando se cierre la validación jurídica",alto si se indexa sin due diligence
https://www.horizonteemirates.com/guias/guia-fiscal-dubai-espana.html,lead-magnet,informacional,mofu,n/a (no compite en SERP por decisión),global,noindex-intencional,bajo,"noindex,follow deliberado para no canibalizar el artículo pilar de fiscalidad. Corregir el único salto de encabezado del sitio (h2 a h4)",ninguno
https://www.horizonteemirates.com/guias/guia-fiscal-dubai-espana-v2-completa.html,lead-magnet,informacional,mofu,n/a (no compite en SERP por decisión),global,noindex-intencional,bajo,"Versión recomendada del lead magnet (2.098 palabras). Sin canonical, correcto al estar en noindex. Sin acción",ninguno
https://www.horizonteemirates.com/guias/guia-fiscal-dubai-espana-v2-ejecutiva.html,lead-magnet,informacional,mofu,n/a (no compite en SERP por decisión),global,noindex-intencional,bajo,Versión ejecutiva de 461 palabras. Sin acción SEO,ninguno
https://www.horizonteemirates.com/guias/preview-guia-fiscal.html,otro,navegacional,n/a,n/a,global,noindex-intencional,bajo,Maqueta interna de aprobación. Valorar sacarla de public/ para no publicar borradores,bajo (borrador accesible en producción)
https://www.horizonteemirates.com/guias/preview-confianza-a11.html,otro,navegacional,n/a,n/a,global,noindex-intencional,bajo,Maqueta interna de aprobación (variante A11 ya en producción). Valorar sacarla de public/,bajo (borrador accesible en producción)
https://www.horizonteemirates.com/guias/preview-zonas-inversion.html,otro,navegacional,n/a,n/a,Dubai,noindex-intencional,bajo,Maqueta interna sin H1 y con 28 guiones largos. Valorar sacarla de public/,bajo (borrador accesible en producción)
https://www.horizonteemirates.com/404.html,otro,navegacional,n/a,n/a,global,noindex-intencional,bajo,"Devuelve código 404 real y está en noindex,follow. Correcto. Sin acción",ninguno
